eclipse_fraction,comms_duty_scale,passed,failure_mode,recharge_margin,dod_actual,feasibility
0.2,0.5,True,,6.401742302475621,0.09126315789473682,feasible
0.2,1.0,True,,5.73266388457474,0.10191478696741851,feasible
0.2,1.5,True,,5.66321531328584,0.10316457811194657,feasible
0.2,2.0,True,,5.66321531328584,0.10316457811194657,feasible
0.2,2.5,True,,5.66321531328584,0.10316457811194657,feasible
0.2,3.0,True,,5.66321531328584,0.10316457811194657,feasible
0.2,3.5,True,,5.66321531328584,0.10316457811194657,feasible
0.2,4.0,True,,5.66321531328584,0.10316457811194657,feasible
0.2,4.5,True,,5.66321531328584,0.10316457811194657,feasible
0.23750000000000002,0.5,True,,5.19655939842255,0.10637781954887215,feasible
0.23750000000000002,1.0,True,,4.723585939023027,0.11702944862155396,feasible
0.23750000000000002,1.5,True,,4.3929889010379926,0.12583657059314968,feasible
0.23750000000000002,2.0,True,,4.3929889010379926,0.12583657059314968,feasible
0.23750000000000002,2.5,True,,4.3929889010379926,0.12583657059314968,feasible
0.23750000000000002,3.0,True,,4.3929889010379926,0.12583657059314968,feasible
0.23750000000000002,3.5,True,,4.3929889010379926,0.12583657059314968,feasible
0.23750000000000002,4.0,True,,4.3929889010379926,0.12583657059314968,feasible
0.23750000000000002,4.5,True,,4.3929889010379926,0.12583657059314968,feasible
0.275,0.5,True,,4.291245780859278,0.12149248120300749,feasible
0.275,1.0,True,,3.945344944098091,0.13214411027568918,feasible
0.275,1.5,True,,3.651047991681405,0.14279573934837098,feasible
0.275,2.0,True,,3.5105995679690816,0.14850856307435256,feasible
0.275,2.5,True,,3.5105995679690816,0.14850856307435256,feasible
0.275,3.0,True,,3.5105995679690816,0.14850856307435256,feasible
0.275,3.5,True,,3.5105995679690816,0.14850856307435256,feasible
0.275,4.0,True,,3.5105995679690816,0.14850856307435256,feasible
0.275,4.5,True,,3.5105995679690816,0.14850856307435256,feasible
0.3125,0.5,True,,3.5862658901298867,0.13660714285714282,feasible
0.3125,1.0,True,,3.3268614857805274,0.14725877192982462,feasible
0.3125,1.5,True,,3.102452616587912,0.1579104010025063,feasible
0.3125,2.0,True,,2.9064050578777754,0.168562030075188,feasible
0.3125,2.5,True,,2.861946178330254,0.17118055555555556,feasible
0.3125,3.0,True,,2.861946178330254,0.17118055555555556,feasible
0.3125,3.5,True,,2.861946178330254,0.17118055555555556,feasible
0.3125,4.0,True,,2.861946178330254,0.17118055555555556,feasible
0.3125,4.5,True,,2.861946178330254,0.17118055555555556,feasible
0.35,0.5,True,,3.021747451934197,0.15172180451127826,feasible
0.35,1.0,True,,2.8235220877296445,0.16237343358395995,feasible
0.35,1.5,True,,2.6497027028657167,0.17302506265664164,feasible
0.35,2.0,True,,2.496043302328387,0.18367669172932333,feasible
0.35,2.5,True,,2.3650190870737404,0.19385254803675867,feasible
0.35,3.0,True,,2.3650190870737404,0.19385254803675867,feasible
0.35,3.5,True,,2.3650190870737404,0.19385254803675867,feasible
0.35,4.0,True,,2.3650190870737404,0.19385254803675867,feasible
0.35,4.5,True,,2.3650190870737404,0.19385254803675867,feasible
0.3875,0.5,True,,2.559514867508497,0.1668364661654137,feasible
0.3875,1.0,True,,2.4059101824272693,0.17748809523809528,feasible
0.3875,1.5,True,,2.269698316808333,0.18813972431077697,feasible
0.3875,2.0,True,,2.1480834469155865,0.19879135338345866,feasible
0.3875,2.5,True,,2.0388384971665356,0.20944298245614035,feasible
0.3875,3.0,True,,1.972157126261312,0.21652454051796166,feasible
0.3875,3.5,True,,1.972157126261312,0.21652454051796166,feasible
0.3875,4.0,True,,1.972157126261312,0.21652454051796166,feasible
0.3875,4.5,True,,1.972157126261312,0.21652454051796166,feasible
0.425,0.5,True,,2.1740775104917742,0.18195112781954892,feasible
0.425,1.0,True,,2.0538431608351115,0.1926027568922306,feasible
0.425,1.5,True,,1.946210671534456,0.2032543859649123,feasible
0.425,2.0,True,,1.8492974820346821,0.213906015037594,feasible
0.425,2.5,True,,1.7615782200085612,0.22455764411027568,feasible
0.425,3.0,True,,1.6818038236672623,0.23520927318295737,feasible
0.425,3.5,True,,1.6537691831949632,0.23919653299916455,feasible
0.425,4.0,True,,1.6537691831949632,0.23919653299916455,feasible
0.425,4.5,True,,1.6537691831949632,0.23919653299916455,feasible
0.4625,0.5,True,,1.847765131541829,0.19706578947368425,feasible
0.4625,1.0,True,,1.753012804402614,0.20771741854636594,feasible
0.4625,1.5,True,,1.6675041558292463,0.21836904761904763,feasible
0.4625,2.0,True,,1.58994943019652,0.22902067669172943,feasible
0.4625,2.5,True,,1.5192881515779466,0.239672305764411,feasible
0.4625,3.0,False,dod_exceeded,1.4546403429069137,0.2503239348370928,infeasible
0.4625,3.5,False,dod_exceeded,1.3952696909781388,0.2609755639097745,infeasible
0.4625,4.0,False,dod_exceeded,1.3905118751529215,0.26186852548036765,infeasible
0.4625,4.5,False,dod_exceeded,1.3905118751529215,0.26186852548036765,infeasible
0.5,0.5,True,,1.5679424379061377,0.21218045112781958,feasible
0.5,1.0,True,,1.4929929905874888,0.22283208020050127,feasible
0.5,1.5,True,,1.4248819964913444,0.23348370927318296,feasible
0.5,2.0,True,,1.3627143701173765,0.24413533834586465,feasible
0.5,2.5,False,dod_exceeded,1.3057447058148104,0.25478696741854634,infeasible
0.5,3.0,False,dod_exceeded,1.2533472457098822,0.26543859649122803,infeasible
0.5,3.5,False,dod_exceeded,1.2049927995019394,0.27609022556390983,infeasible
0.5,4.0,False,dod_exceeded,1.16920688906003,0.28454051796157065,infeasible
0.5,4.5,False,dod_exceeded,1.16920688906003,0.28454051796157065,infeasible
