eclipse_fraction,eclipse_energy_wh,raw_capacity_wh,selected_capacity_wh,min_soc,recharge_frac
0.2,2.1442666666666663,9.028491228070175,15.0,0.8495251461988305,0.4796802131912061
0.3,3.2164,13.542736842105265,25.0,0.8645726315789474,0.5844946556622916
0.356,3.8167946666666666,16.070714385964912,30.0,0.866077380116959,0.6276414960356138
0.4,4.2885333333333335,18.05698245614035,30.0,0.8495251461988305,0.656185919343814
0.45,4.8246,20.314105263157895,35.0,0.8548992481203007,0.684157736366996
