eclipse_fraction,sunlight_duration_min,eclipse_energy_wh,p_sa_raw_w,p_sa_design_w,area_m2
0.2,75.68,2.1442666666666663,9.555555555555554,11.944444444444443,0.04049008826180099
0.3,66.22,3.2164,10.984126984126984,13.730158730158731,0.046543423716223074
0.356,60.9224,3.8167946666666666,11.977915804002759,14.97239475500345,0.05075443968451669
0.4,56.76,4.2885333333333335,12.888888888888888,16.11111111111111,0.05461453765545251
0.45,52.029999999999994,4.8246,14.101010101010102,17.626262626262626,0.05975070107132579
