load_scale,comms_duty_scale,payload_duty_scale,eclipse_fraction,eta_cell,f_array,f_eol_pv,eta_sun_path,eta_recharge_path,eta_discharge,f_cap_eol_batt,passed,failure_mode,recharge_margin,dod_actual,min_soc,recharge_utilization
1.0152358539877215,1.0264415553592279,0.7512699027101383,0.33577144776265605,0.2865034773995815,0.8730904015195367,0.8734801614816576,0.8637916263530699,0.869747323778529,0.9188519881177865,0.7370160159015997,True,,2.9809361124637626,0.17910823887951888,0.8208917611204811,0.2934642036018207
0.9480007946879753,1.134868522599867,1.1336810488819273,0.3550520509841743,0.28112741263055724,0.7946828404577269,0.8406615928629891,0.9131416911033909,0.8696305057209935,0.9727428727645548,0.8956352300819606,True,,2.385114095596202,0.13833894574448635,0.8616610542555136,0.34218516126369514
1.0375225597903228,0.7791594076249471,0.9912951990377205,0.3290726853848086,0.3049892444040658,0.842810269699798,0.8958301056488879,0.9064885985907574,0.8629045370616681,0.9094822992549016,0.871852343056967,True,,3.245897782530741,0.1484025713781122,0.8515974286218878,0.2631023668776548
1.0470282358195606,0.9572052756418675,0.9100136322306395,0.34169288157028793,0.30230014924231996,0.8172809158944254,0.8197219744682686,0.8873582532884198,0.9007406439966148,0.9822080641347731,0.7668531538051264,True,,2.6587481672700384,0.1670418483314262,0.8329581516685738,0.311289505796997
0.9024482405673082,1.124372994306868,0.9623773732359414,0.35111617297337827,0.2666316180170884,0.9359095902436901,0.7995745884236073,0.8768856827488677,0.8383905104480285,0.9448837661628267,0.8640556181283566,True,,2.774734407644875,0.1390088968873483,0.8609911031126517,0.3047190602571577
0.9348910246568841,1.009840022251389,1.1555156180561506,0.3475622929217125,0.2804709807887571,0.8198866149045185,0.7921252073015386,0.9067681020239668,0.8387668051373036,0.957371040807997,0.7539949085625497,True,,2.2793048221837062,0.15906280663811612,0.8409371933618839,0.3744349222990216
1.0063920201583643,1.220100071811622,1.109686077598761,0.3705381520473985,0.30382782227402555,0.8050826800475264,0.873848434042541,0.8906379801411309,0.8302295532136849,0.9712390648590672,0.7730512221728978,True,,2.352942593808115,0.17861922940392272,0.8213807705960773,0.35275964175241775
0.9841878703828209,0.7636114962719622,0.9808114812991748,0.3412434476518889,0.2989167926728179,0.7668888574469022,0.8291180700003927,0.9158199944866828,0.9231884532089834,0.9379493493166777,0.8003839166606949,True,,2.6970505025893092,0.1532474760961935,0.8467525239038065,0.3049874475847538
0.9991599421247855,0.7464997348080801,0.829133880389608,0.30660037510726096,0.2939860242299439,0.8189120698498673,0.8457889435104687,0.8884810130849121,0.8960330052686685,0.9619783484315176,0.7649396210938906,True,,3.4876651772421683,0.1439360740090554,0.8560639259909446,0.24727178132500013
0.957347803621321,1.1154529774934077,0.8397183104632541,0.3222845418133694,0.30908517101115274,0.8536854197130311,0.8828311902776529,0.891496082905641,0.8318987165488095,0.9295286500652495,0.8242187231816765,True,,3.6909849250932463,0.1459300227747482,0.8540699772252518,0.2410593505069792
